nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
634.95,29.98,0,0.51,0,0,0,25.41,747,Red Wine
397.8,1635.4,16.35,22.01,0,44.2,12.82,35.36,442,Refried Beans
205.4,1.58,0.63,4.25,0,0,1.58,1.76,158,Rice
190.08,33.44,1.76,3.15,0,0,0.7,1.37,176,Rice Noodles
140,990,1,8,10,6,2,4,227,Rice Stick Noodles
30.62,5.39,0.28,0.51,0,0,0.11,0.22,28.35,Rice Vermicelli
199.87,1.27,2.28,7.34,0,0,1,9,126.5,Rigatoni
0.5,0.54,0.03,0.05,0.95,0.5,0.32,0.16,2,Rocket
102.33,1.62,2.73,3.55,0,0,1.4,6.38,27,Rolled Oats
10.92,1.65,1.41,0.16,2.06,3.37,4.22,5.36,3.3,Rosemary
2.17,1.04,0.03,0.08,0.07,0.94,0.08,0.43,0.7,Saffron
2.2,0.08,0.28,0.07,0.83,0.38,1.16,1.09,0.7,Sage
38.99,0.58,0,0.15,0,0,0.15,0.16,29.1,Sake
467.62,138.47,0,50.18,10.44,13.99,3.39,4.3,227,Salmon
10.44,255.96,0.68,0.55,3.32,1.14,1.08,0.84,36,Salsa
0,113173.36,0,0,0,0,7.01,5.35,292,Salt
101.81,91.31,0,0.12,7.1,0,0.34,0.02,14.2,Salted Butter
74.75,187.22,0,4.26,0.43,0,0.21,1.53,23,Sausages
0,155.03,0,0,0,0,0.01,0.01,0.4,Sea Salt
442.5,1491.25,3.38,12.36,0,0,42.25,32.43,125,Self-raising Flour
488,458.72,0,32.21,37.09,3.25,117.12,1.08,976,Semi-skimmed Milk
160.18,3.12,3.97,4.81,0.05,0,28.04,23.25,28.35,Sesame Seed
30.62,5.1,1.36,1.06,0.04,5.66,1.57,2.85,42.53,Shallots
100.24,94.64,0,6.59,3.69,0,18.45,0.92,28,Shredded Mexican Cheese
421.49,678,0,27.66,17,0,84,5,113,Shredded Monterey Jack Cheese
110,0,2,3,0,45,2,6,148,Small Potatoes
19.18,4.62,2.37,0.96,66.99,0.1,1.56,7.99,6.8,Smoked Paprika
97.21,440,,17,,,,,,Smoky Paprika
455.4,71.3,0,5.61,20.56,3.45,23.23,0.89,230,Sour Cream
145.35,9174.9,1.78,23.08,0,0,7.65,19.13,255,Soy Sauce
99.63,119.07,0.97,7,10.01,0,29.89,5.94,243,Soya Milk
210.36,6.73,1.81,7.39,0,0,1,10,140,Spaghetti
455.84,1338.41,5.88,30.08,461,120,46,51,542.63,Spinach
0,0,,0,0,0,0,0,,Spring Onions
150,10,1,1,,,,,,Squash
170.55,916.57,5.01,6.03,23,256,8,10,237.82,Stir-fry Vegetables
8.64,0.27,0.54,0.18,0.06,26.46,0.43,0.62,27,Strawberries
10.84,0.03,0,0,0,0,0,0.01,2.8,Sugar
86.94,2.52,1.13,0.91,1.66,6.72,1.26,2.52,126,Sultanas
39.78,0,0,0,0,0,0,0,4.5,Sunflower Oil
129,10,0,0,0,4,3,6,35,Tamarind Ball
100.79,2840,,0.5,,,,,100,Tamarind Paste
8,,,1,,,,,,Thai Fish Sauce
20,225,1,0,0,0,8,10,15,Thai Green Curry Paste
150.23,1640,4.7,2,,,,,100,Thai Red Curry Paste
0.4,0.04,0.06,0.02,0.38,1.07,0.16,0.39,0.4,Thyme
9.09,81.63,0.03,0.09,0.95,0.61,0.13,0.18,9,Tomato Ketchup
95,70,4.75,4.13,25.5,44.17,4.5,24.72,250,Tomato Puree
26.82,7.45,1.79,1.31,24.82,34.02,1.49,2.24,149,Tomatoes
120,5,5,8,0,0,4,10,35,Toor Dal
184.28,76.55,0,41.32,1.85,0,0.57,7.24,141.75,Tuna
29.33,2.54,2.13,0.91,0,0.11,1.58,28.72,9.4,Turmeric
0,0,0,0,0,0,0,0,,Turmeric Powder
34.32,24.96,3.12,1.11,0,30.16,5.15,1.56,156,Turnips
12.1,0.38,0,0,0,0,0.05,0.03,4.2,Vanilla
12.1,0.38,0,0,0,0,0.05,0.03,4.2,Vanilla Extract
182.75,124.1,0,21.96,0,0,1.53,7.08,85,Veal
425.62,720,7.5,13,,,,,100,Vegan Butter
120.22,0,0,0,0,0,0,0.02,13.6,Vegetable Oil
13.2,666.6,0,0.51,12.72,1.47,0.66,0.98,220,Vegetable Stock
6.93,360,0,0.1,,,,,,Vegetable Stock Cube
70.56,291.94,0,0.12,0,0,0,0,29.4,Vinaigrette Dressing
210,510,3,3,4,4,0,20,134,Vine Leaves
0.9,0.1,0,0,0,0,0.03,0.01,5,Vinegar
0,1.18,0,0,0,0,0.09,0,29.6,Water
226.38,37.8,0.08,2.47,0,0,8,1,42,White Chocolate Chips
113.9,43.35,0,16.23,2.04,0,2.21,1.75,85,White Fish
100,100,0,20,0,0,6,2,113,White Fish Fillets
0.9,0.1,0,0,0,0,0.03,0.01,5,White Vinegar
120.55,7.35,0,0.1,0,0,0,0,147,White Wine
148.84,104.92,0,7.69,7.91,0,27.57,0.41,244,Whole Milk
70,95,2,2,0,8,0,4,28.35,Whole Wheat
100.8,182,2.4,4.97,0.02,0,6.44,5.49,40,Wholegrain Bread
214.5,2695,0,0,4.35,59.58,29.43,80.97,275,Worcestershire Sauce
71.19,79.1,0,5.93,1.15,1.51,20.68,0.51,113,Yogurt
32.55,6.51,2.17,2.47,48.48,46.66,3.91,4.46,217,Zucchini
153.59,496,1.35,4.02,0,1.4,1.09,10.17,40,Pretzels
56,50.24,0,0.98,3.56,0,1.55,0.1,16,Cream Cheese
9.73,0.05,0,0,0,0,0,0.01,2.5,Icing Sugar
181.02,86.52,2.18,1.6,0,0,1.48,4.44,42,Toffee Popcorn
88.56,139.81,0,0.5,0.5,0.34,2.01,0,41,Caramel
88.56,139.81,0,0.5,0.5,0.34,2.01,0,41,Caramel Sauce
167.68,7.68,,6.59,1,0,1,8,128,Tagliatelle
